Player,90s,Goals,Shots,PKs,npxG,npG,Born,Age
Alessandro Tripaldelli (1999),4.8,0.0,0.0,0.0,0.0,0.0,1999.0,22.0
Alessandro Tuia (1990),19.6,1.0,7.0,0.0,0.4,1.0,1990.0,31.0
Alessandro Zanoli (2000),0.1,0.0,0.0,0.0,0.0,0.0,2000.0,21.0
Alessio Cerci (1987),18.2,3.0,41.0,1.0,2.4,2.0,1987.0,34.0
Alessio Romagnoli (1995),123.69999999999999,7.0,58.0,0.0,5.8,7.0,1995.0,26.0
Alessio da Cruz (1997),1.6,0.0,1.0,0.0,0.0,0.0,1997.0,24.0
Alex Baena (2001),1.7,0.0,2.0,0.0,0.1,0.0,2001.0,20.0
Alex Ferrari (1994),55.599999999999994,1.0,14.0,0.0,1.0,1.0,1994.0,27.0
Alex Iwobi (1996),84.89999999999999,9.0,133.0,0.0,11.4,9.0,1996.0,25.0
Alex Král (1998),0.0,0.0,0.0,0.0,0.0,0.0,1998.0,23.0
Alex Oxlade-Chamberlain (1993),45.400000000000006,8.0,110.0,0.0,6.8,8.0,1993.0,28.0
Alex Petxa (1997),0.7,0.0,0.0,0.0,0.0,0.0,1997.0,24.0
Alex Pritchard (1993),34.2,3.0,68.0,0.0,4.6,3.0,1993.0,28.0
Alex Sandro (1991),110.0,8.0,81.0,0.0,7.0,8.0,1991.0,30.0
Alex Sola (1999),1.0,0.0,2.0,0.0,0.1,0.0,1999.0,22.0
Alex Telles (1992),12.9,0.0,8.0,0.0,0.4,0.0,1992.0,29.0
Alexander (1988),11.9,2.0,19.0,1.0,2.0,1.0,1988.0,33.0
Alexander Djiku (1994),125.4,2.0,66.0,0.0,7.699999999999999,2.0,1994.0,27.0
Alexander Esswein (1990),23.200000000000003,2.0,39.0,0.0,2.8,2.0,1990.0,31.0
Alexander Fuchs (1997),7.3,1.0,6.0,0.0,0.7,1.0,1997.0,24.0
Alexander Hack (1993),61.89999999999999,5.0,46.0,0.0,2.9,5.0,1993.0,28.0
Alexander Isak (1999),57.0,30.0,160.0,1.0,25.7,29.0,1999.0,22.0
Alexander Kačaniklić (1991),3.5,0.0,3.0,0.0,0.3,0.0,1991.0,30.0
Alexander Meier (1983),0.0,1.0,1.0,0.0,0.1,1.0,1983.0,38.0
Alexander Søderlund (1987),4.0,0.0,12.0,0.0,1.2,0.0,1987.0,34.0
Alexander Sørloth (1995),28.3,6.0,71.0,0.0,8.700000000000001,6.0,1995.0,26.0
Alexander Tettey (1986),26.0,1.0,23.0,0.0,0.8,1.0,1986.0,35.0
Alexandre Jankewitz (2001),0.0,0.0,0.0,0.0,0.0,0.0,2001.0,20.0
Alexandre Lacazette (1991),104.1,53.0,257.0,6.0,42.099999999999994,47.0,1991.0,30.0
Alexandre Lauray (1997),2.9,0.0,0.0,0.0,0.0,0.0,1997.0,24.0
Alexandre Mendy (1994),27.4,10.0,83.0,0.0,11.100000000000001,10.0,1994.0,27.0
Alexandru Maxim (1990),18.3,3.0,47.0,0.0,2.1999999999999997,3.0,1990.0,31.0
Alexis (1985),24.3,1.0,14.0,0.0,0.9,1.0,1985.0,36.0
Alexis Alegue (1996),0.1,0.0,0.0,0.0,0.0,0.0,1996.0,25.0
Alexis Blin (1996),63.6,2.0,22.0,0.0,1.5,2.0,1996.0,25.0
Alexis Claude-Maurice (1998),41.0,5.0,77.0,0.0,7.4,5.0,1998.0,23.0
Alexis Flips (2000),7.7,2.0,12.0,1.0,0.6,1.0,2000.0,21.0
Alexis Mac Allister (1998),22.7,5.0,53.0,1.0,3.1,4.0,1998.0,23.0
Alexis Saelemaekers (1999),44.0,4.0,59.0,0.0,4.8999999999999995,4.0,1999.0,22.0
Alexis Sánchez (1988),66.2,23.0,174.0,2.0,21.5,21.0,1988.0,33.0
Alexis Tibidi (2003),1.2,0.0,3.0,0.0,0.3,0.0,2003.0,18.0
Alexis Trouillet (2000),1.2,0.0,2.0,0.0,0.1,0.0,2000.0,21.0
Aleš Matějů (1996),28.3,0.0,6.0,0.0,0.4,0.0,1996.0,25.0
Alfa Semedo (1997),0.5,0.0,1.0,0.0,0.0,0.0,1997.0,24.0
Alfie Mawson (1994),50.6,2.0,22.0,0.0,2.0,2.0,1994.0,27.0
Alfon (1999),0.4,0.0,1.0,0.0,0.0,0.0,1999.0,22.0
Alfons Amade (1999),0.1,0.0,1.0,0.0,0.1,0.0,1999.0,22.0
Alfonso Espino (1992),48.9,2.0,20.0,0.0,0.7,2.0,1992.0,29.0
Alfonso Pedraza (1996),96.6,8.0,125.0,0.0,9.4,8.0,1996.0,25.0
Alfred Duncan (1993),86.4,7.0,111.0,0.0,6.9,7.0,1993.0,28.0
Alfred N'Diaye (1990),1.1,0.0,0.0,0.0,0.0,0.0,1990.0,31.0
Alfredo Donnarumma (1990),18.7,7.0,38.0,2.0,5.1,5.0,1990.0,31.0
Alfredo Morales (1990),36.2,2.0,40.0,0.0,1.8,2.0,1990.0,31.0
Alfreð Finnbogason (1989),53.3,26.0,117.0,8.0,21.3,18.0,1989.0,32.0
Ali Adnan Kadhim (1993),20.400000000000002,0.0,14.0,0.0,0.5,0.0,1993.0,28.0
